,Player,Sacks,Ints,Fumble_Recoveries,Forced_Fumbles,TDs,TDs,Safeties,Points_Against,Yds_Against,FPTS
0,ArizonaCardinals,46.5,12.2,10.6,16.9,2.3,0.9,390.0,5.0,963.9,107.6
1,AtlantaFalcons,35.0,13.4,10.5,17.4,2.5,0.2,407.4,6.0,294.3,98.1
2,BaltimoreRavens,38.2,13.1,11.3,17.7,3.0,0.9,352.3,5.0,661.4,106.8
3,BuffaloBills,40.7,14.9,9.7,15.0,2.6,0.2,366.5,5.0,736.0,106.1
4,CarolinaPanthers,37.3,13.9,11.7,20.3,2.5,0.6,418.7,6.0,48.9,105.0
5,ChicagoBears,37.1,12.5,10.4,16.9,2.2,0.9,392.2,5.0,854.8,98.0
6,CincinnatiBengals,29.1,13.0,8.8,13.9,2.1,0.5,434.1,6.0,349.3,86.1
7,ClevelandBrowns,39.4,14.2,10.2,15.2,2.4,0.9,388.2,5.0,913.2,104.5
8,DallasCowboys,38.7,13.1,11.6,19.5,2.6,0.2,407.1,6.0,144.3,104.1
9,DenverBroncos,41.2,12.8,9.2,13.9,2.5,0.8,398.2,5.0,871.4,101.7
10,DetroitLions,33.8,11.0,8.9,14.1,2.1,0.5,464.4,6.0,660.3,87.2
11,GreenBayPackers,41.9,15.6,9.2,14.3,2.5,0.5,377.0,5.0,894.2,107.9
12,HoustonTexans,35.4,11.1,9.1,14.1,2.1,0.5,461.0,6.0,647.3,89.3
13,IndianapolisColts,42.2,14.1,10.6,17.1,2.9,0.9,382.6,5.0,784.1,110.6
14,JacksonvilleJaguars,33.6,12.6,8.6,12.6,2.4,0.5,448.4,6.0,495.9,91.6
15,KansasCityChiefs,38.1,14.5,9.6,14.9,3.0,0.5,386.1,5.0,998.5,105.0
16,MiamiDolphins,39.4,15.1,8.8,15.7,2.6,0.9,395.8,6.0,187.1,104.5
17,MinnesotaVikings,36.0,14.2,9.2,14.7,2.5,0.2,395.7,6.0,136.0,98.0
18,NewEnglandPatriots,40.5,15.4,9.1,12.6,2.6,0.5,361.7,5.0,824.8,106.2
19,NewOrleansSaints,43.5,15.0,9.5,13.2,2.5,0.2,371.2,5.0,676.4,108.1
20,NewYorkGiants,39.3,13.0,10.0,16.8,2.4,0.5,410.1,6.0,86.2,100.9
21,NewYorkJets,36.0,12.4,9.4,15.4,2.2,0.2,431.0,6.0,38.1,93.0
22,LasVegasRaiders,33.3,13.2,9.4,14.1,2.3,0.2,438.0,6.0,184.4,92.9
23,PhiladelphiaEagles,44.7,12.6,10.4,16.3,2.5,0.9,405.7,6.0,58.9,107.3
24,PittsburghSteelers,47.1,14.9,10.4,15.7,2.7,0.9,358.5,5.0,547.4,115.4
25,LosAngelesChargers,38.9,13.8,8.9,12.0,2.7,0.5,389.6,5.0,736.6,101.3
26,SeattleSeahawks,41.8,13.9,10.1,14.9,2.4,1.2,389.0,5.0,995.3,106.7
27,SanFrancisco49ers,41.4,13.1,10.4,16.8,2.5,0.5,375.7,5.0,505.1,104.5
28,LosAngelesRams,45.9,14.4,10.7,15.8,2.7,0.9,366.0,5.0,581.5,113.9
29,TampaBayBuccaneers,46.5,15.8,11.1,17.4,2.8,0.9,366.0,5.0,515.5,119.2
30,TennesseeTitans,34.8,14.4,9.2,14.1,2.4,0.2,409.9,6.0,189.2,97.3
31,WashingtonFootballTeam,46.3,14.3,10.5,15.6,2.4,0.5,373.0,5.0,604.8,111.3
