Rank,Player,Team,Bye,POS,MFL,Fantrax,FFC,Sleeper,AVG
1,Christian McCaffrey,CAR,13,RB1,1,1,1,1,1
2,Dalvin Cook,MIN,7,RB2,2,2,2,2,2
3,Derrick Henry,TEN,13,RB3,3,3,3,3,3
4,Alvin Kamara,NO,6,RB4,4,4,4,4,4
5,Ezekiel Elliott,DAL,7,RB5,5,5,5,5,5
6,Nick Chubb,CLE,13,RB6,6,6,6,6,6
7,Aaron Jones,GB,13,RB7,7,9,7,10,8.3
8,Davante Adams,GB,13,WR1,8,8,8,9,8.3
9,Jonathan Taylor,IND,14,RB8,10,7,9,8,8.5
10,Saquon Barkley,NYG,10,RB9,11,11,11,7,10
11,Tyreek Hill,KC,12,WR2,9,12,12,11,11
12,Travis Kelce,KC,12,TE1,13,10,10,12,11.3
13,Patrick Mahomes II,KC,12,QB1,12,14,16,15,14.3
14,Najee Harris,PIT,7,RB10,16,15,13,13,14.3
15,Austin Ekeler,LAC,7,RB11,14,16,14,14,14.5
16,Stefon Diggs,BUF,7,WR3,15,17,17,16,16.3
17,Antonio Gibson,WAS,9,RB12,18,13,15,21,16.8
18,D.K. Metcalf,SEA,9,WR4,17,18,19,20,18.5
19,Joe Mixon,CIN,10,RB13,21,19,18,19,19.3
20,DeAndre Hopkins,ARI,12,WR5,20,20,22,17,19.8
21,Calvin Ridley,ATL,6,WR6,19,21,21,18,19.8
22,Clyde Edwards-Helaire,KC,12,RB14,23,22,20,22,21.8
23,A.J. Brown,TEN,13,WR7,26,27,26,24,25.8
24,Darren Waller,LV,8,TE2,30,23,23,28,26
25,Justin Jefferson,MIN,7,WR8,25,26,24,31,26.5
26,Josh Allen,BUF,7,QB2,22,25,28,32,26.8
27,David Montgomery,CHI,10,RB15,32,28,25,26,27.8
28,Josh Jacobs,LV,8,RB16,28,29,27,27,27.8
29,Chris Carson,SEA,9,RB17,24,30,29,29,28
30,George Kittle,SF,6,TE3,35,24,31,23,28.3
31,Keenan Allen,LAC,7,WR9,27,31,32,25,28.8
32,James Robinson,JAC,7,RB18,36,32,30,33,32.8
33,Terry McLaurin,WAS,9,WR10,37,33,34,30,33.5
34,Mike Evans,TB,9,WR11,29,35,37,34,33.8
35,Miles Sanders,PHI,14,RB19,34,36,35,37,35.5
36,CeeDee Lamb,DAL,7,WR12,40,34,33,39,36.5
37,Kyler Murray,ARI,12,QB3,33,38,38,38,36.8
38,Allen Robinson II,CHI,10,WR13,41,37,39,35,38
39,D'Andre Swift,DET,9,RB20,44,39,36,36,38.8
40,Lamar Jackson,BAL,8,QB4,31,42,46,42,40.3
41,Chris Godwin,TB,9,WR14,39,41,48,41,42.3
42,Robert Woods,LAR,11,WR15,43,40,41,45,42.3
43,Julio Jones,TEN,13,WR16,47,44,44,40,43.8
44,Amari Cooper,DAL,7,WR17,48,43,47,43,45.3
45,Myles Gaskin,MIA,14,RB21,45,46,43,51,46.3
46,Aaron Rodgers,GB,13,QB5,38,45,54,53,47.5
47,Adam Thielen,MIN,7,WR18,46,47,50,47,47.5
48,Kyle Pitts,ATL,6,TE4,59,58,42,44,50.8
49,Kareem Hunt,CLE,13,RB22,52,49,56,46,50.8
50,Russell Wilson,SEA,9,QB6,42,51,64,50,51.8
51,Cooper Kupp,LAR,11,WR19,57,48,57,49,52.8
52,Mike Davis,ATL,6,RB23,53,53,45,62,53.3
53,Dak Prescott,DAL,7,QB7,49,52,59,55,53.8
54,Mark Andrews,BAL,8,TE5,60,55,51,52,54.5
55,Tyler Lockett,SEA,9,WR20,58,50,58,54,55
56,Raheem Mostert,SF,6,RB24,51,56,53,60,55
57,D.J. Moore,CAR,13,WR21,54,54,66,48,55.5
58,Darrell Henderson Jr.,LAR,11,RB25,64,63,40,61,57
59,Justin Herbert,LAC,7,QB8,50,59,63,58,57.5
60,Diontae Johnson,PIT,7,WR22,61,57,62,57,59.3
61,Javonte Williams,DEN,11,RB26,67,60,49,69,61.3
62,Chase Edmonds,ARI,12,RB27,55,69,65,59,62
63,Damien Harris,NE,14,RB28,63,64,52,71,62.5
64,Gus Edwards,BAL,8,RB29,62,67,55,72,64
65,T.J. Hockenson,DET,9,TE6,77,65,60,56,64.5
66,Brandon Aiyuk,SF,6,WR23,69,66,61,63,64.8
67,Chase Claypool,PIT,7,WR24,72,62,68,70,68
68,Tom Brady,TB,9,QB9,56,72,74,73,68.8
69,Odell Beckham Jr.,CLE,13,WR25,70,70,70,65,68.8
70,Melvin Gordon III,DEN,11,RB30,66,74,75,67,70.5
71,Ja'Marr Chase,CIN,10,WR26,71,61,77,75,71
72,Tee Higgins,CIN,10,WR27,75,68,73,68,71
73,Michael Thomas,NO,6,WR28,78,78,69,64,72.3
74,Kenny Golladay,NYG,10,WR29,79,73,86,66,76
75,Jerry Jeudy,DEN,11,WR30,83,75,72,76,76.5
76,Ronald Jones II,TB,9,RB31,81,76,76,74,76.8
77,JuJu Smith-Schuster,PIT,7,WR31,68,77,89,77,77.8
78,Trey Sermon,SF,6,RB32,80,90,67,78,78.8
79,Leonard Fournette,TB,9,RB33,65,85,88,81,79.8
80,Courtland Sutton,DEN,11,WR32,76,82,87,80,81.3
81,Matthew Stafford,LAR,11,QB10,73,84,84,87,82
82,Logan Thomas,WAS,9,TE7,87,81,71,97,84
83,DeVonta Smith,PHI,14,WR33,94,71,82,89,84
84,Robby Anderson,CAR,13,WR34,85,80,90,85,85
85,Ryan Tannehill,TEN,13,QB11,74,89,92,91,86.5
86,Robert Tonyan,GB,13,TE8,84,102,80,86,88
87,Deebo Samuel,SF,6,WR35,88,88,94,84,88.5
88,Antonio Brown,TB,9,WR36,97,87,81,96,90.3
89,AJ Dillon,GB,13,RB34,103,91,78,93,91.3
90,Zack Moss,BUF,7,RB35,95,103,79,88,91.3
91,Tyler Boyd,CIN,10,WR37,89,79,104,95,91.8
92,James Conner,ARI,12,RB36,92,86,93,99,92.5
93,Noah Fant,DEN,11,TE9,106,92,98,83,94.8
94,D.J. Chark Jr.,JAC,7,WR38,100,93,110,82,96.3
95,Michael Carter,NYJ,6,RB37,102,101,83,100,96.5
96,Jalen Hurts,PHI,14,QB12,86,99,100,103,97
97,Brandin Cooks,HOU,10,WR39,82,94,118,101,98.8
98,Jarvis Landry,CLE,13,WR40,90,83,124,98,98.8
99,Devin Singletary,BUF,7,RB38,96,95,91,113,98.8
100,Dallas Goedert,PHI,14,TE10,104,114,102,79,99.8
101,Rob Gronkowski,TB,9,TE11,125,100,85,92,100.5
102,Corey Davis,NYJ,6,WR41,91,96,111,107,101.3
103,Los Angeles Rams,DST,11,DST1,93,106,109,102,102.5
104,Laviska Shenault Jr.,JAC,7,WR42,105,104,97,105,102.8
105,Sony Michel,LAR,11,RB39,98,123,95,109,106.3
106,Pittsburgh Steelers,DST,7,DST2,108,97,105,118,107
107,Joe Burrow,CIN,10,QB13,101,98,112,120,107.8
108,Tampa Bay Buccaneers,DST,9,DST3,110,112,120,90,108
109,Kenyan Drake,LV,8,RB40,120,105,108,110,110.8
110,Michael Pittman Jr.,IND,14,WR43,123,107,96,121,111.8
111,Jamaal Williams,DET,9,RB41,122,111,99,123,113.8
112,David Johnson,HOU,10,RB42,133,117,106,104,115
113,Mike Gesicki,MIA,14,TE12,109,121,127,106,115.8
114,Tyler Higbee,LAR,11,TE13,116,120,116,115,116.8
115,Justin Tucker,BAL,8,K1,107,122,145,94,117
116,Jaylen Waddle,MIA,14,WR44,131,109,117,111,117
117,Mike Williams,LAC,7,WR45,127,115,114,116,118
118,Washington Football Team,DST,9,DST4,114,127,121,114,119
119,Marquez Callaway,NO,6,WR46,128,110,103,136,119.3
120,Will Fuller V,MIA,14,WR47,129,108,131,112,120
121,Harrison Butker,KC,12,K2,112,128,136,108,121
122,Baltimore Ravens,DST,8,DST5,130,113,132,117,123
123,Mecole Hardman,KC,12,WR48,134,133,101,128,124
124,Marquise Brown,BAL,8,WR49,124,116,135,131,126.5
125,Michael Gallup,DAL,7,WR50,121,118,143,126,127
126,Tony Pollard,DAL,7,RB43,143,125,107,140,128.8
127,Henry Ruggs III,LV,8,WR51,99,132,141,144,129
128,Trevor Lawrence,JAC,7,QB14,126,141,130,122,129.8
129,Matt Ryan,ATL,6,QB15,111,134,125,151,130.3
130,Baker Mayfield,CLE,13,QB16,113,137,137,139,131.5
131,Buffalo Bills,DST,7,DST6,117,145,148,124,133.5
132,Curtis Samuel,WAS,9,WR52,139,119,161,127,136.5
133,Younghoe Koo,ATL,6,K3,132,147,149,119,136.8
134,San Francisco 49ers,DST,6,DST7,140,146,134,129,137.3
135,Darnell Mooney,CHI,10,WR53,159,129,122,142,138
