Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian McCaffrey,CAR,293.9,"1,267.90",11.6,92.7,755.8,4.4,1.7,295.3
Dalvin Cook,MIN,312.7,"1,456.30",12.9,55.6,476.5,2.1,2.6,278.6
Derrick Henry,TEN,350.1,"1,724.30",14,24.8,188.1,1,2.6,276.2
Alvin Kamara,NO,208.5,"1,008.50",10.4,82,703.9,3.4,1.5,251.2
Aaron Jones,GB,231.1,"1,145.90",10,54.4,413.5,2.8,1.6,229.5
Nick Chubb,CLE,276.4,"1,350.10",11.1,27.5,221.6,1.1,1.8,226.5
Saquon Barkley,NYG,258.4,"1,160.10",8.8,55.5,440.4,2.2,1.2,223.6
Jonathan Taylor,IND,270.3,"1,209.30",10.6,41.6,321.7,1.4,1.6,221.9
Ezekiel Elliott,DAL,279.1,"1,165.40",9.4,51.4,387.7,2.3,2.8,219.4
Joe Mixon,CIN,267.4,"1,125.50",8.1,49.9,368.6,2.7,1.5,211.7
Austin Ekeler,LAC,182.9,845.8,5,83.7,696.5,4.7,1.3,209.6
Najee Harris,PIT,261.1,"1,126.00",8.8,47.8,357.3,2.1,2.2,208.8
Antonio Gibson,WAS,250.6,"1,077.60",9.3,45.8,330,1.5,1.4,202.4
Clyde Edwards-Helaire,KC,230.5,"1,026.10",8,48.9,377.1,2.2,1.2,199.3
David Montgomery,CHI,253.1,"1,058.90",8,45.3,360.8,1.7,1.6,196.8
Chris Carson,SEA,230.9,"1,063.00",7.4,44.4,325.6,2.7,1.7,195.8
Miles Sanders,PHI,221.8,"1,051.00",7.3,42,338.6,1.7,1.8,189.4
D'Andre Swift,DET,184.1,841.2,7.7,62.9,486.1,2.3,2.5,187.6
Josh Jacobs,LV,259.8,"1,058.60",9.2,30.5,233.2,0.9,1.7,186.7
James Robinson,JAC,232.8,"1,019.80",7.1,46.5,333.2,1.6,1.1,185.9
Gus Edwards,BAL,228.9,"1,040.10",8.8,14.1,115,0.6,1.7,169
Myles Gaskin,MIA,196,849.2,6,46.6,369.1,2.1,2.2,165.8
Darrell Henderson Jr.,LAR,206.9,900.8,7,31.7,264.1,1.6,1.1,165.4
Mike Davis,ATL,216.8,873.2,6.6,48.8,306.7,1.5,1.6,163.5
Damien Harris,NE,218.5,"1,037.30",7.1,13.5,102,0.3,1,156.2
Chase Edmonds,ARI,161.5,704.1,4.6,53.6,417.6,3,1,155.7
Kareem Hunt,CLE,153.9,649,5.3,39.1,310.5,2.5,0.9,140.7
Melvin Gordon III,DEN,174.1,833.6,6.3,26.4,179.4,1,2.5,140.2
Raheem Mostert,SF,156,797,6.1,22,192.8,1.2,1.6,139.3
Javonte Williams,DEN,186.5,747.2,5.3,24,184.2,1,1.5,128
Ronald Jones II,TB,174.5,752.9,5.9,16.8,116.4,0.5,1.1,123.4
James Conner,ARI,159.6,682.9,5.6,25.6,185.8,0.8,1.1,122.8
Trey Sermon,SF,162.5,663.3,5.8,19.7,155.1,1.2,1.3,121.4
Zack Moss,BUF,159.2,665.1,5.4,22.5,159,1.1,0.8,119.7
Leonard Fournette,TB,156.4,625.5,5.6,26.6,185.8,0.7,0.8,117.7
Sony Michel,LAR,157.9,690.3,5,15.6,132,0.6,0.6,114.9
Kenyan Drake,LV,130.9,545.4,4.7,38.5,264.9,1.3,1.1,114.7
Jamaal Williams,DET,141.5,556.8,3.7,32.1,222.3,1.1,0.8,105.2
