Player,Team,REC,YDS,TDS,FL,FPTS
Travis Kelce,KC,112.3,"1,405.20",10.4,0.5,201.7
Darren Waller,LV,104,"1,209.10",7.9,0.6,167.1
George Kittle,SF,92,"1,138.70",6.5,0.4,152
Mark Andrews,BAL,72.9,878.4,8,0.6,134.8
T.J. Hockenson,DET,75.5,838.3,5.3,0.5,114.5
Kyle Pitts,ATL,62.5,735.7,5.6,0.8,105.3
Noah Fant,DEN,66.3,740.7,4.6,0.4,100.8
Mike Gesicki,MIA,58.6,683.2,5.5,0.4,100.5
Robert Tonyan,GB,55.9,613.7,6.5,0.1,100.2
Logan Thomas,WAS,65.7,662.1,5.2,0.4,96.6
Tyler Higbee,LAR,59.3,661.5,5.1,0.4,96
Dallas Goedert,PHI,60.1,673.7,4.6,0.5,93.7
Jared Cook,LAC,50.6,620.8,5.4,0.4,93.6
Rob Gronkowski,TB,42.3,537.3,5.7,0.1,87.5
Irv Smith Jr.,MIN,49.1,544.8,5.1,0.7,83.9
Jonnu Smith,NE,53.9,555.5,4.8,0.5,83.6
Eric Ebron,PIT,56.2,567.6,4.3,0.4,82
Austin Hooper,CLE,53.2,543.6,4.7,0.4,81.7
Anthony Firkser,TEN,51.7,556.9,4.1,0.1,80
Evan Engram,NYG,55.4,559.3,3.6,0.4,76.7
Hunter Henry,NE,48.7,530.9,3.8,0.4,75
Blake Jarwin,DAL,44.7,501.5,3.5,0.4,70.5
Zach Ertz,PHI,47.4,493.4,3.3,0.4,68.1
Gerald Everett,SEA,43.7,452.7,3.9,0.4,67.9
Dawson Knox,BUF,38.7,432.7,4.2,0.4,67.4
Cole Kmet,CHI,47.8,465.8,3.6,0.8,66.5
Jordan Akins,HOU,45.6,469.4,3,0.1,64.8
Hayden Hurst,ATL,43.7,452.2,3.2,0,64.6
Adam Trautman,NO,37.8,427.7,3.4,0.4,62.1
O.J. Howard,TB,30.5,388.5,2.8,0.5,54.7
Jack Doyle,IND,33.9,361.4,3,0.1,53.7
Ryan Izzo,SEA,25,417,2,1,51.7
Dan Arnold,JAC,29.3,368.2,2.5,0.4,50.7
C.J. Uzomah,CIN,34,336.1,2.9,0.1,50.6
Donald Parham Jr.,LAC,28,340.2,2.5,0.1,48.8
Tyler Conklin,MIN,32,328.5,2.5,0.1,48
Mo Alie-Cox,IND,29.3,321.8,2.3,0.4,45.4
Chris Herndon IV,MIN,29.5,312.4,2.6,1.1,44.8
Dalton Schultz,DAL,30.4,304.4,2.4,0.1,44.6
Will Dissly,SEA,26.9,279.5,2.7,0.1,43.8
Jimmy Graham,CHI,26.7,270.8,2.6,0.1,42.8
Albert Okwuegbunam,DEN,25,286.2,1.9,0.1,40.2
Stephen Carlson,CLE,20,218,3,0,39.8
David Njoku,CLE,22.6,247.5,2.3,0,38.5
Jacob Hollister,JAC,29.5,270.2,2,0.5,37.8
Maxx Williams,ARI,20.9,235.3,2,0.1,35.7
Tyler Kroft,NYJ,22.8,227.7,2.1,0,35
Juwan Johnson,NO,24.1,250.3,1.6,0.2,34.6
Kyle Rudolph,NYG,24.6,232.5,1.9,0,34.5
Nick Boyle,BAL,23.2,215.4,2.1,0,34.3
Drew Sample,CIN,26.4,241.2,1.5,0.4,32.7
Cameron Brate,TB,20.7,210.7,1.8,0,31.8
James O'Shaughnessy,JAC,26.2,259.8,1,0,31.6
Harrison Bryant,CLE,20.6,216,2,1.1,31.6
Brevin Jordan,HOU,23.2,234.6,1.5,0.6,31.4
Geoff Swaim,TEN,22.2,206,1.7,0,30.5
